Port,Shanghai,Singapore,Yantian,Hong Kong,Ningbo,Pusan,Qingdao Gang,Guangzhou,Mina Jabal Ali,Tianjin,Rotterdam,Kelang,Kao-Hsiung,Dalian,Hamburg,Antwerpen,Xiamen,Tanjung Pelepas,Laem Chabang,Ho Chi Minh,Bremerhaven,Jakarta,Lianyungang,Tokyo,Jawaharlal Nehru,Chiwan,Algeciras,Valencia,Khawr Fakkan,Jeddah,Colombo,Santos,Felixstowe,Manila,Constantinopole,Tanger,Balboa,Gioia Tauro,Port Said,Mina Raysut,Shilong,Vancouver,Marsaxlokk,Yokohama Ko,Nagoya Ko,Durban,Kobe,Colon,Le Havre,Melbourne,Cartagena,St Petersburg,Yantai,Gwangyang Hang,Sydney,Fuzhou,Genova,Osaka,Dublin,Mumbai,Puerto Del Callao,Barcelona,Rades,Surabaja,Southampton,Dammam,Chittagong,Guayaquil,Kingston,Karachi,Chennai,Bangkok,Alexandria,Taichung,Mersin,Mundra,Manzanillo,Buenos Aires,South Riding Point,Taipei,La Spezia,Pulau Pinang,Ashdod,Damietta,Gdynia,Haifa,Nanjing,Puerto Moin,Puerto San Antonio,Marseille,Lazaro Cardenas,Da Chan Bay,Cagliari,Jiangyin,Beirut,Itajai,Veracruz,Goteburg,Buenaventura,Hawaii,Alaska,North Pacific,Central Pacific,South Pacific,East Gulf of Mexico,West Gulf of Mexico,Central Florida,South Atlantic,North Atlantic
Shanghai,0,3811.040451,1197.577815,1230.394211,148.3371947,823.1569495,547.6109054,1215.643965,6458.325652,931.6906081,8931.19134,3779.347324,964.2475226,858.139639,8528.196915,8983.929386,824.5354497,3819.939337,2917.231363,2736.464454,8601.737517,4430.611117,435.2586073,1761.118647,5035.559171,10671.86565,10706.10881,10127.57096,6319.415525,8094.062205,5093.761254,18568.04833,9092.622478,1850.340186,7988.016328,10758.09357,15016.72805,9100.766869,8204.780404,6931.638516,1274.211807,9304.816237,9362.240412,1751.034523,1491.579518,11707.69377,1331.582947,19898.60878,9339.505449,8055.068228,15042.10305,7115.162721,704.2494414,712.5775586,11410.60345,609.7869354,9188.96341,1353.895627,9348.402969,5050.651005,17151.10313,9829.80696,9610.467033,4373.464396,9310.195504,6842.263493,3097.227814,16083.54349,14207.76356,5347.413303,4660.155511,2892.192445,8411.941307,776.0707776,7743.80088,5173.072467,13946.71144,19638.67158,13252.23642,673.4526867,9151.727352,3618.853018,7978.198954,8240.253959,7993.361767,7900.295629,277.560782,14735.84951,18756.77109,9510.7496,12832.3268,1225.481815,9526.913548,143.0364135,7805.315534,18944.18811,13118.73271,8164.400236,15644.13147,7945.93382,6930.716161,9169.151,9869.149405,10456.20356,12278.0971,12497.72885,13308.91922,12586.77329,11993.94633
Singapore,3811.040451,0,2622.370073,2587.876406,3689.52447,4574.816612,4218.40443,2630.495755,5857.550151,4423.837708,10535.50067,332.4823169,2960.946254,4560.076645,10151.26205,10552.02523,2995.446209,34.16361996,1352.156624,1101.007505,10240.33791,887.3723614,4055.996141,5321.397849,3899.191736,10253.06066,11640.03994,11126.34641,5744.056559,7343.628883,2734.181049,15931.79661,10748.77397,2392.315806,8649.677682,11682.29802,18815.87542,9740.283493,8185.758767,5719.192491,2591.978968,13088.08593,9860.93054,5303.022561,5076.364214,8427.58857,4930.234649,16091.61149,10884.20931,6056.816112,18712.31815,8979.974136,4416.723508,4481.801187,14513.7519,3215.316387,10297.84126,4947.283201,11206.74751,3902.821143,18812.82017,10884.29195,10239.60722,1363.902879,10956.92411,6370.999498,2676.441059,19586.02015,17873.25775,4741.990434,2906.819964,1434.381552,8412.619007,3122.704265,8083.22101,4391.011958,17607.26555,15876.49364,16904.84198,3252.18034,10228.68507,601.7613467,7976.113421,8240.981982,9588.206576,7963.964191,3764.181666,18544.32858,16392.54295,10631.5681,16455.00401,2599.743782,10324.66725,3815.221123,7939.946442,15923.18305,16860.9138,9998.788792,19431.61831,10812.47325,10741.6959,12952.09127,13575.84112,14140.43642,16086.36264,16286.10501,17014.31245,16258.54937,15487.5822
Yantian,1197.577815,2622.370073,0,35.87228359,1088.694464,1996.833642,1603.772214,121.3602814,5982.551322,1854.261664,9309.329096,2581.861851,614.1967271,1947.71741,8899.156358,9351.347607,439.5085062,2629.746888,1765.189004,1539.56108,8980.629163,3289.065585,1441.934567,2857.926299,4303.160908,10438.07014,10921.89058,10342.77978,5843.588362,7651.162515,4072.428652,18025.68966,9494.074964,1135.269741,8004.721074,10972.67399,16198.65023,9155.369455,8002.054497,6296.121482,192.2672999,10502.27167,9379.847257,2843.527516,2592.76371,10622.87907,2434.92747,18708.27292,9711.010763,7444.821708,16193.43243,7523.711184,1800.514152,1894.111346,12351.9244,641.376831,9406.214064,2455.17502,9827.64424,4316.299757,18331.38964,10052.5299,9681.637381,3316.871307,9715.643688,6428.250206,2305.1447,17281.03527,15348.5725,4797.288517,3736.617119,1753.203014,8224.62058,662.8083279,7640.250396,4555.121991,15083.90524,18498.85315,14381.82496,775.2496248,9356.705255,2424.345133,7771.113273,8045.581154,8335.738826,7711.498273,1145.065863,15928.49447,18663.33017,9744.014194,14016.34949,41.02112352,9651.555199,1193.113133,7635.843947,18224.08619,14315.23041,8597.639273,16824.91564,8909.106677,8123.122947,10366.58014,11058.21723,11642.7371,13472.27965,13671.70489,14454.76748,13718.25815,13064.8766
Hong Kong,1230.394211,2587.876406,35.87228359,0,1120.130259,2027.492565,1639.229984,136.9935708,5985.259352,1890.118609,9333.906605,2548.955217,622.9558888,1983.218059,8923.726848,9375.661373,463.3595463,2595.385669,1739.773691,1506.268539,9005.349805,3253.280554,1477.440415,2884.393621,4297.957401,10445.81531,10941.85401,10362.98778,5846.400738,7653.874294,4054.110642,18013.59717,9519.11744,1112.839536,8020.877356,10992.58371,16233.48767,9171.952921,8012.025297,6293.016907,198.4989122,10534.78651,9395.322608,2869.837497,2619.692464,10599.27837,2462.13807,18675.01475,9735.281648,7416.193917,16229.09145,7549.673046,1835.872937,1925.278108,12386.55042,669.0159969,9426.886331,2482.280765,9854.309793,4311.003934,18359.97766,10073.0554,9698.407272,3281.346587,9740.695811,6432.676206,2300.77616,17313.51381,15384.31824,4798.454768,3723.582386,1729.052945,8234.919378,680.8823004,7653.294948,4554.076471,15119.67472,18464.26794,14417.63214,795.9292286,9377.092084,2393.066206,7781.088301,8055.764529,8359.878373,7722.046551,1180.330677,15962.52541,18633.77613,9764.938153,14046.30535,45.39119975,9669.750089,1227.414925,7647.001014,18205.83298,14347.24474,8623.723091,16859.84768,8927.112466,8157.039709,10399.07364,11088.94127,11673.12004,13506.05989,13706.76953,14490.43705,13754.04246,13100.68078
Ningbo,148.3371947,3689.52447,1088.694464,1120.130259,0,910.0140626,694.2292886,1117.783844,6494.402976,1073.145292,9057.02615,3666.353771,818.3272865,1006.342978,8653.095017,9109.068872,695.4064687,3699.218435,2829.723569,2622.527016,8727.275284,4296.461658,574.22768,1815.542457,5032.345248,10744.91559,10821.89429,10242.58314,6355.144129,8137.790376,5041.582913,18642.84182,9220.22279,1702.332049,8082.435431,10873.84976,15141.97943,9200.519171,8277.028229,6947.255205,1181.236049,9416.579175,9458.934464,1803.862241,1545.939351,11646.70475,1385.559384,19753.88464,9465.304309,7913.56853,15175.04724,7241.095291,852.5444378,805.6006034,11558.72671,476.7804866,9302.950601,1407.247209,9481.227839,5047.194845,17248.52813,9945.046315,9712.486238,4230.80864,9438.27963,6887.035575,3076.029816,16194.55874,14343.00047,5370.717782,4625.328255,2808.259465,8486.245836,630.216762,7825.777434,5186.637724,14082.63694,19490.5589,13389.56251,525.3991515,9264.664867,3513.037644,8049.547096,8313.448019,8115.572027,7973.500607,362.0340821,14855.85981,18704.84672,9626.430811,12930.11527,1119.155138,9633.564046,258.6463598,7880.435756,19000.25143,13227.44521,8293.200647,15769.37565,7978.089507,7052.838464,9280.783856,9970.06023,10555.34209,12397.57179,12626.71518,13443.78209,12724.11382,12137.40858
Pusan,823.1569495,4574.816612,1996.833642,2027.492565,910.0140626,0,799.4286393,2027.688865,7050.899683,1094.260953,8943.803461,4566.589673,1628.66904,782.746173,8554.34985,9003.271067,1586.01841,4586.264054,3737.401278,3523.043305,8620.572273,5135.13865,874.4043397,973.0951553,5760.642535,11061.40088,10798.35725,10231.90717,6914.265895,8645.255452,5904.42061,18696.09322,9084.903211,2419.756103,8268.7331,10850.11628,14269.08242,9334.462637,8617.566362,7594.06013,2090.22404,8518.592774,9615.198164,967.0807249,712.6021078,12523.17577,563.1662265,19278.6289,9348.695564,8274.625189,14332.19814,7145.172034,731.662883,115.7596035,10933.18684,1367.111038,9310.733646,585.8743534,9277.815461,5776.267278,16338.52251,9934.887487,9823.190395,5005.900474,9295.179864,7397.132587,3870.352885,15292.12259,13515.24108,5993.494356,5449.851218,3713.900679,8811.776457,1456.070098,8105.167851,5851.226553,13259.90468,19337.69367,12578.34235,1328.147632,9282.751625,4420.162515,8397.651793,8647.58309,8051.676581,8310.287268,1009.227396,13969.5865,18115.08877,9614.887612,12020.32021,2028.208618,9705.359112,888.9196252,8205.516214,19078.45751,12324.08747,8152.312794,14895.10441,7172.224445,6180.547847,8382.661478,9061.450125,9645.99403,11512.59452,11771.71121,12616.34296,11914.91735,11390.14138
Qingdao Gang,547.6109054,4218.40443,1603.772214,1639.229984,694.2292886,799.4286393,0,1587.922767,6252.693011,400.0367771,8424.828089,4152.903631,1491.866124,344.2629215,8024.68878,8479.393973,1305.11241,4224.032607,3203.837656,3123.338123,8096.432845,4888.822321,162.40829,1753.564465,4983.14023,10323.06488,10225.79297,9650.134363,6115.838837,7853.411436,5223.173858,18153.74625,8581.464758,2386.148533,7577.058841,10277.80009,14599.27545,8670.588524,7866.01348,6796.754176,1628.398583,8961.979914,8941.072989,1750.450232,1503.803984,11836.51252,1360.35336,19565.88573,8832.928624,8598.029353,14590.87507,6610.079245,198.8536661,694.8302444,10876.59759,1110.194453,8715.652445,1382.8194,8823.953079,4998.984401,16827.23571,9352.075076,9172.355385,4872.426989,8797.632592,6603.725388,3137.981114,15718.87884,13747.92665,5195.285834,4728.560246,3166.123863,8065.641274,1305.472365,7374.076375,5057.868713,13484.10945,19813.15729,12783.99072,1213.314681,8681.540598,3965.74011,7643.206317,7898.204054,7497.804151,7559.323089,460.8865981,14341.65182,18897.2897,9032.128123,12537.32608,1622.676844,9074.885025,457.7627493,7458.234608,18555.69606,12777.69212,7650.730017,15224.23355,7930.274691,6547.457332,8827.269478,9571.342303,10163.94604,11893.72382,12070.32665,12852.52895,12119.41538,11494.50594
Guangzhou,1215.643965,2630.495755,121.3602814,136.9935708,1117.783844,2027.688865,1587.922767,0,5864.959275,1815.995878,9199.190543,2574.213186,720.9771497,1930.021505,8789.01065,9240.701354,513.6229791,2636.283607,1715.255859,1537.497439,8870.777994,3321.240679,1425.515506,2909.737206,4195.300837,10317.36234,10804.88065,10226.03922,5725.913899,7533.513895,3994.235443,17928.33724,9384.866651,1249.33358,7884.638296,10855.6063,16187.05474,9035.536999,7880.796004,6184.94857,79.66005547,10516.03459,9259.423424,2896.058523,2642.738233,10561.30601,2483.773233,18694.59671,9600.278407,7544.922899,16166.17807,7416.554016,1786.234803,1921.900793,12284.53375,696.2944072,9290.01232,2504.489101,9722.118378,4208.584111,18365.70956,9936.153095,9561.921378,3372.367431,9606.451316,6309.330437,2196.532675,17292.36637,15318.77158,4681.173743,3644.331981,1697.924023,8103.319666,750.3326253,7519.040126,4441.45121,15053.23299,18500.13779,14349.57122,854.4524548,9240.169047,2404.65132,7649.854794,7924.294101,8224.780768,7590.173678,1135.111727,15926.82384,18758.67259,9628.117508,14046.73416,91.64676668,9532.869324,1196.743971,7514.486161,18141.57451,14331.90406,8490.738276,16811.52024,8989.582598,8124.734179,10380.54006,11084.57841,11671.12163,13474.13128,13657.71605,14427.89502,13687.32362,13018.99347
Mina Jabal Ali,6458.325652,5857.550151,5982.551322,5985.259352,6494.402976,7050.899683,6252.693011,5864.959275,0,5990.613134,5175.597688,5525.961056,6572.356736,6329.621551,4887.307955,5161.490476,6302.910615,5825.145354,4970.919688,5655.698609,4969.565837,6583.252651,6200.588013,7969.750621,1960.745396,4537.712579,5829.134795,5361.889623,139.7064125,1668.621806,3312.926831,12180.95786,5387.693536,6931.146169,2994.187377,5867.445154,13817.90739,3956.499322,2331.978157,903.3515272,5790.293583,12157.67027,4033.984412,7970.924224,7740.371154,6615.448746,7606.300599,13545.11379,5418.899103,11671.24514,13368.96797,4325.567509,6333.596089,6947.495298,9772.10723,6377.400411,4656.746911,7628.254592,5916.829864,1956.261757,14802.88725,5158.220357,4424.150954,7191.128545,5550.764991,513.5327644,3745.319444,14566.44499,12943.11334,1203.514858,2957.568723,4904.550483,2556.931116,6544.360511,2340.450799,1510.068599,12793.30148,13615.02697,12394.85412,6602.476511,4579.656555,5290.830924,2130.018036,2387.994633,4439.072113,2131.645461,6184.453207,14038.17904,14812.00188,4958.117508,14641.28436,5944.586635,4550.735931,6325.366452,2129.356192,12508.04663,14194.7222,4969.249589,13932.20487,13758.46137,10167.93495,12083.1217,13027.69354,13453.83791,13264.09267,12733.00503,12627.38459,12099.11778,11136.48996
Tianjin,931.6906081,4423.837708,1854.261664,1890.118609,1073.145292,1094.260953,400.0367771,1815.995878,5990.613134,0,8024.894358,4329.747054,1837.720665,340.112167,7624.935397,8079.55399,1618.253515,4426.547652,3322.653642,3322.849399,7696.562037,5137.216256,499.2902422,1979.308676,4829.130643,9973.103694,9829.023249,9254.068033,5855.634585,7564.847544,5197.421534,17763.29767,8181.428633,2733.783589,7203.476578,9881.024393,14392.3481,8288.731413,7524.80455,6576.445335,1842.25308,8845.835901,8562.297756,1980.31651,1752.968572,11774.58121,1626.558112,19172.25089,8432.976003,8986.476825,14351.82771,6210.285098,364.8597121,1008.611134,10544.52691,1444.00364,8320.739542,1647.711911,8425.147253,4845.35913,16679.14089,8956.013945,8787.42912,5163.673723,8397.614511,6320.496687,3074.72123,15550.8229,13503.48972,4972.767441,4662.555631,3275.845826,7720.384865,1656.128625,7018.815575,4860.663118,13237.69527,19413.55244,12533.71545,1576.363786,8287.390988,4122.19676,7304.302448,7555.317631,7098.91782,7217.599271,774.9256274,14157.27033,18986.44505,8635.95158,12447.84314,1866.180665,8685.583404,820.2666817,7113.68529,18167.06227,12647.92101,7250.725568,15011.54333,8073.955657,6403.666338,8712.517426,9492.245481,10087.12389,11728.87653,11863.95871,12614.51814,11871.8714,11211.46128
Rotterdam,8931.19134,10535.50067,9309.329096,9333.906605,9057.02615,8943.803461,8424.828089,9199.190543,5175.597688,8024.894358,0,10217.95265,9656.80759,8229.349428,410.1806259,76.20126477,9363.072185,10509.25391,9297.991963,9889.271784,330.453263,11390.51456,8500.647184,9351.940034,6890.898078,3596.162551,1920.031751,1432.921284,5234.889633,4505.57619,8397.984685,9771.211975,217.2020557,10442.08796,2215.870272,1968.769284,8818.131662,1741.512361,3220.848863,5809.274465,9158.902231,8053.63344,1957.741978,9369.311734,9294.54297,9454.880432,9264.165539,11156.89525,408.3142613,16586.15963,8414.231686,1816.033517,8346.5903,8909.1919,4601.687256,9283.554753,896.499841,9274.915204,741.4391811,6893.921367,10495.27136,1186.207535,1743.434395,11884.21649,422.8818566,4731.384167,7896.129974,9815.507949,7852.359271,5998.514902,7894.525893,9214.084811,3092.74886,9515.44942,2893.447689,6353.092397,7673.784786,11388.66283,7227.401348,9483.414261,953.6677204,9934.294033,3308.237341,3170.473271,979.3552604,3243.083452,8704.399568,8967.972071,12027.7395,943.7752058,9535.026029,9289.595971,1454.959635,8799.383266,3183.076524,10173.35933,9038.998932,802.7478521,9088.475675,11696.54326,7233.16974,8044.15029,8797.562303,8996.67233,8173.066641,7585.831564,7457.712224,6927.699322,5972.605024
Kelang,3779.347324,332.4823169,2581.861851,2548.955217,3666.353771,4566.589673,4152.903631,2574.213186,5525.961056,4329.747054,10217.95265,0,2980.957245,4490.0476,9836.06722,10233.34458,2980.581656,301.2135074,1122.653706,1043.913732,9925.215301,1180.927787,3991.085574,5357.540224,3567.150289,9931.951309,11307.98306,10795.34033,5412.111027,7018.695229,2426.710036,15838.14529,10431.844,2502.823083,8319.523009,11350.16271,18681.99448,9408.361486,7853.669932,5397.461735,2526.963909,13082.93255,9528.474815,5340.180363,5105.096369,8296.25865,4954.503502,16126.55084,10563.50664,6377.972387,18485.08071,8680.734566,4351.749541,4468.362317,14257.65285,3199.599432,9969.889904,4972.635342,10894.39156,3570.862447,18996.18434,10554.27754,9907.286375,1693.18732,10638.78647,6039.361296,2383.820736,19845.48285,17675.03213,4409.614328,2577.20327,1199.426007,8080.639272,3130.805791,7751.293737,4058.539102,17413.64645,15925.99723,16721.60613,3260.583379,9900.41294,292.8604065,7643.808074,7908.851408,9274.883845,7631.511665,3707.327798,18486.65857,16537.86964,10302.97359,16538.29704,2554.960348,9993.115522,3770.312546,7607.474648,15863.57103,16889.56083,9691.953586,19230.95818,10994.00651,10698.21364,12947.13261,13613.22642,14188.57146,16046.53854,16182.66062,16850.33958,16091.06873,15280.40741
Kao-Hsiung,964.2475226,2960.946254,614.1967271,622.9558888,818.3272865,1628.66904,1491.866124,720.9771497,6572.356736,1837.720665,9656.80759,2980.957245,0,1819.070235,9248.148572,9703.740892,301.8172008,2974.460363,2304.105534,1950.313072,9326.441634,3508.712386,1349.554451,2377.793781,4916.030788,10994.20137,11343.18352,10761.92919,6432.997777,8240.016601,4658.768796,18633.87547,9831.807981,896.4462327,8483.877321,11394.63762,15894.50391,9626.950775,8543.2317,6905.427241,799.8075187,10127.27,9864.244313,2360.852198,2124.139175,11161.23533,1974.050867,18935.80429,10063.03623,7201.122844,15959.33124,7849.899798,1664.474504,1545.374566,12368.44754,397.3018401,9820.770332,1991.958777,10130.03537,4929.265955,17829.49852,10467.60555,10149.80398,3416.070348,10052.42826,7009.065134,2917.395723,16871.57354,15136.97726,5394.371449,4344.169991,2304.23029,8762.753305,188.1810576,8153.946283,5159.735275,14879.23492,18675.82274,14191.2079,304.3517322,9775.75769,2867.573003,8312.547954,8584.921524,8694.80159,8248.172928,1062.976717,15586.19024,18331.90476,10153.73808,13566.12483,655.0424826,10101.25426,1034.114124,8167.30383,18795.75148,13913.15669,8917.160508,16519.16044,8324.169393,7808.838153,9991.279798,10632.56715,11207.82791,13133.32926,13400.13537,14237.40916,13526.20061,12954.09184
Dalian,858.139639,4560.076645,1947.71741,1983.218059,1006.342978,782.746173,344.2629215,1930.021505,6329.621551,340.112167,8229.349428,4490.0476,1819.070235,0,7833.863882,8286.31134,1645.049329,4565.341895,3525.116772,3463.596674,7903.022672,5233.058786,505.7836801,1640.132576,5159.18544,10279.35805,10059.26745,9488.107501,6194.826105,7899.458706,5484.264616,17997.91039,8378.974956,2708.383781,7488.333484,10111.19097,14257.06409,8560.275765,7838.627587,6916.186157,1968.705594,8636.75493,8838.628807,1641.495079,1417.422866,12080.15709,1295.546064,19267.93034,8636.42182,8863.079111,14246.64145,6420.123543,154.6505821,711.659203,10552.48789,1445.355307,8560.358476,1316.207973,8600.576706,5175.33904,16497.5297,9190.354695,9052.916428,5212.449704,8592.75207,6656.551312,3374.481152,15383.40417,13403.67723,5312.453587,4965.664033,3484.392718,8031.434009,1631.309805,7322.831798,5198.13814,13139.89346,19533.24212,12439.90712,1531.578112,8529.820254,4298.370357,7619.679212,7868.049571,7318.570777,7531.294788,805.0274287,14002.45413,18688.27334,8870.08469,12222.27834,1966.239781,8941.644462,790.4306885,7425.613925,18401.6198,12450.02214,7446.217577,14881.58388,7743.649771,6213.963999,8502.405647,9258.695714,9852.405587,11557.33716,11727.71852,12508.27363,11775.27428,11154.00532
Hamburg,8528.196915,10151.26205,8899.156358,8923.726848,8653.095017,8554.34985,8024.68878,8789.01065,4887.307955,7624.935397,410.1806259,9836.06722,9248.148572,7833.863882,0,456.2550154,8954.054628,10125.51778,8903.085042,9488.843063,89.22085857,11011.68582,8098.498195,8984.223492,6550.952557,3735.481379,2273.545176,1749.085169,4938.474056,4339.525162,8067.374513,10165.17732,606.1829433,10031.97386,1989.423251,2323.846989,9175.290611,1743.231587,3056.427539,5561.700645,8748.755333,8108.091955,2004.293629,9001.153557,8919.578391,9497.337768,8885.173647,11558.72806,814.9081821,16192.87458,8779.133999,1414.722057,7949.338241,8517.528173,4886.957503,8875.758062,1020.020503,8896.424264,1069.572007,6554.654952,10891.87726,1474.852008,1866.417395,11495.23239,825.1631428,4461.887872,7503.182534,10193.29242,8196.203682,5660.696793,7546.573781,8818.95951,2953.946088,9107.56349,2660.829689,6012.60952,8010.2172,11788.65316,7541.20203,9076.471102,1050.817271,9550.796634,3117.271062,3009.9361,572.7506317,3041.25352,8299.585417,9312.446801,12437.36199,1185.901581,9784.433509,8879.415396,1594.996793,8395.732331,2968.044646,10568.04987,9310.10707,478.7340817,9462.16405,11610.04116,7129.764307,8089.552091,8880.091532,9114.278407,8413.640896,7850.508266,7768.742938,7213.075804,6249.182045
Antwerpen,8983.929386,10552.02523,9351.347607,9375.661373,9109.068872,9003.271067,8479.393973,9240.701354,5161.490476,8079.55399,76.20126477,10233.34458,9703.740892,8286.31134,456.2550154,0,9409.360394,10525.52397,9320.902386,9916.060307,383.2934022,11404.16099,8553.961657,9417.460625,6890.640934,3522.942837,1850.433214,1358.616481,5222.820878,4466.683674,8394.23276,9713.490503,228.0892276,10484.80164,2192.15254,1899.46667,8813.605743,1683.335464,3183.160655,5785.25367,9199.71783,8111.950215,1893.764493,9434.738934,9358.390097,9387.171532,9326.959093,11103.36488,359.7905678,16606.10878,8406.771165,1869.400436,8402.710151,8967.81388,4621.02076,9331.78049,829.7500139,9337.845803,761.4467637,6893.441401,10471.25839,1110.32412,1672.915605,11903.05557,406.7767249,4713.037808,7918.051066,9802.095995,7852.913589,5997.93262,7896.626335,9237.152145,3050.962146,9563.552614,2869.25571,6353.221342,7676.883811,11334.00497,7237.611965,9532.67993,889.2452309,9950.557644,3275.169607,3132.1956,1016.534375,3212.158323,8755.724701,8967.976237,11982.81502,868.0800552,9560.569786,9331.253877,1383.796066,8851.637322,3154.808669,10115.97405,9059.734996,870.0207702,9077.102935,11767.48087,7305.808841,8103.546996,8852.097098,9046.233528,8201.028421,7608.626847,7468.630712,6945.722408,5993.272285
Xiamen,824.5354497,2995.446209,439.5085062,463.3595463,695.4064687,1586.01841,1305.11241,513.6229791,6302.910615,1618.253515,9363.072185,2980.581656,301.8172008,1645.049329,8954.054628,9409.360394,0,3005.618452,2203.029763,1937.173764,9032.809602,3606.633782,1151.209845,2422.657976,4682.96773,10705.25606,11042.48703,10461.2777,6163.346893,7968.799748,4506.910845,18429.36984,9539.524844,1138.306119,8182.750375,11093.90941,15837.36532,9325.403375,8250.788576,6659.725155,591.7546704,10104.0009,9563.260242,2407.844272,2158.939398,11062.29421,2002.131358,19075.00921,9768.834446,7473.753706,15866.541,7558.463799,1491.601503,1488.859347,12162.77598,219.9191424,9520.26254,2021.997873,9843.648852,4696.638475,17901.23271,10167.16144,9848.132031,3567.547991,9760.375357,6733.159087,2685.638911,16877.75775,15031.19482,5132.390489,4155.654658,2192.293015,8469.479456,246.146309,7856.214938,4907.160198,14769.60325,18835.14167,14073.66589,340.918328,9474.978953,2838.981282,8020.255118,8292.002613,8399.215277,7954.731223,851.4148098,15549.35096,18631.65999,9853.600522,13594.60798,477.7996548,9799.466672,856.9132321,7872.725155,18655.09787,13909.76805,8627.273826,16464.75118,8476.163453,7747.823759,9968.101746,10642.3869,11224.28962,13091.06358,13321.35827,14132.6687,13408.28151,12799.02648
Tanjung Pelepas,3819.939337,34.16361996,2629.746888,2595.385669,3699.218435,4586.264054,4224.032607,2636.283607,5825.145354,4426.547652,10509.25391,301.2135074,2974.460363,4565.341895,10125.51778,10525.52397,3005.618452,0,1337.321019,1103.951022,10214.61102,907.3043439,4061.630589,5337.207285,3867.043553,10219.18961,11609.18956,11096.16866,5711.831844,7310.033999,2700.028716,15911.16092,10722.66832,2413.68791,8619.884903,11651.37566,18818.85195,9709.542704,8153.613374,5685.383239,2596.844243,13101.08487,9829.545456,5318.921453,5091.437904,8402.955918,4944.860071,16082.99343,10857.24195,6083.832323,18702.76768,8957.240479,4422.467479,4492.716776,14498.15894,3225.526189,10268.87376,4962.013547,11181.61973,3870.621606,18822.79992,10854.56896,10208.47693,1393.177402,10930.554,6338.612875,2654.255873,19620.17481,17866.66005,4710.784363,2873.900784,1419.050585,8380.400493,3135.172903,8052.474764,4359.571992,17601.06385,15869.26172,16899.56859,3264.744004,10199.60934,574.9731989,7944.15691,8208.866936,9562.839526,7932.244043,3770.531985,18554.96817,16395.68193,10602.384,16476.59372,2606.672863,10294.18144,3822.800523,7908.501964,15905.54142,16877.999,9974.709329,19429.1454,10840.72761,10750.64085,12965.08863,13592.84554,14158.48706,16096.66041,16289.85908,17011.45662,16254.95957,15478.83205
Laem Chabang,2917.231363,1352.156624,1765.189004,1739.773691,2829.723569,3737.401278,3203.837656,1715.255859,4970.919688,3322.653642,9297.991963,1122.653706,2304.105534,3525.116772,8903.085042,9320.902386,2203.029763,1337.321019,0,684.8706915,8991.447492,2233.681913,3047.051542,4622.54947,3053.800369,9499.265002,10565.93387,10021.9113,4842.682615,6580.404502,2400.466036,16361.2856,9507.009922,2174.084682,7546.278326,10611.80212,17564.58799,8676.564693,7235.515224,5040.579155,1648.828508,12161.46309,8835.166,4608.361479,4356.565393,8862.851938,4198.067722,17000.25906,9664.142021,7289.791324,17372.24139,7678.509703,3399.549628,3629.060142,13161.67171,2405.479302,9146.747686,4218.591835,9941.748111,3062.412448,19772.68371,9760.674034,9194.158777,2607.820818,9720.872071,5471.624952,1404.910488,18801.8498,16552.82324,3782.226237,2228.652975,84.93689825,7465.68295,2407.673079,7035.776116,3460.853767,16291.04169,16839.19138,15599.57682,2529.702645,9082.319472,854.4982843,7013.016025,7287.451637,8333.379893,6982.634269,2788.75533,17411.25015,17612.47308,9486.921539,15738.41674,1728.910673,9242.094626,2877.021583,6938.931719,16491.83987,15970.29312,8717.013431,18114.94773,10612.26403,9726.285843,12027.27763,12771.54861,13362.40342,15038.12861,15102.50422,15732.16136,14972.98801,14158.32288
Ho Chi Minh,2736.464454,1101.007505,1539.56108,1506.268539,2622.527016,3523.043305,3123.338123,1537.497439,5655.698609,3322.849399,9889.271784,1043.913732,1950.313072,3463.596674,9488.843063,9916.060307,1937.173764,1103.951022,684.8706915,0,9576.371836,1875.57851,2961.024336,4327.638686,3736.085591,10183.71517,11218.90528,10668.19709,5527.280917,7263.636355,2980.924828,16807.4069,10094.74079,1602.604941,8199.634464,11265.54779,17715.1342,9336.659654,7915.240687,5715.089056,1495.00767,12039.07317,9502.414748,4310.890613,4071.815601,9253.267175,3919.406822,17168.76257,10264.48924,6710.321029,17646.50888,8222.558878,3322.029664,3424.501727,13552.81113,2155.949782,9780.38084,3937.99779,10510.99636,3744.425587,19570.13745,10401.86847,9856.932248,2106.27599,10311.46032,6155.948156,2039.589814,18814.77084,16796.84283,4465.876149,2884.27499,752.4690915,8145.41529,2093.29711,7702.920672,4145.630561,16529.74996,16963.62824,15824.22656,2222.753955,9717.866365,919.1080332,7691.845461,7966.816182,8916.705479,7659.595986,2672.588959,17464.29399,17472.30693,10121.83291,15516.32831,1513.730645,9896.375522,2730.705008,7613.560158,16871.42379,15846.92199,9276.887623,18333.11562,10125.39319,9661.186198,11903.26099,12575.59587,13154.34415,15010.7332,15185.91716,15922.54188,15170.60933,14435.71666
